rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,34
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,36
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,38
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,30
rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,38
rnbqkbnr/pp3ppp/2p1p3/3P4/3P4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,198
rnbqkbnr/pp3ppp/2p1P3/8/3P4/8/PP2PPPP/RNBQKBNR b KQkq - 0 4,182
rnbqkbnr/pp4pp/2p1p3/8/3P4/8/PP2PPPP/RNBQKBNR w KQkq - 0 5,264
rnbqkbnr/pp4pp/2p1p3/8/3P4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 5,283
rnbqk1nr/pp4pp/2p1p3/8/1b1P4/5N2/PP2PPPP/RNBQKB1R w KQkq - 2 6,319
rnbqk1nr/pp4pp/2p1p3/8/1b1P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 3 6,316
rnbqk1nr/pp4pp/2p1p3/b7/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 7,421
rnbqk1nr/pp4pp/2p1p3/b7/3P1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq - 5 7,310
r1bqkbnr/pppppppp/2n5/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,102
r1bqkbnr/pppppppp/2n5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,41
r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,84
r1bqkbnr/pppp1ppp/2n5/4p3/3PPP2/8/PPP3PP/RNBQKBNR b KQkq - 0 3,-114
r1bqkbnr/pppp2pp/2n2p2/4p3/3PPP2/8/PPP3PP/RNBQKBNR w KQkq - 0 4,216
r1bqkbnr/pppp2pp/2n2p2/4P3/4PP2/8/PPP3PP/RNBQKBNR b KQkq - 0 4,26
r1bqkbnr/pppp2pp/2n5/4p3/4PP2/8/PPP3PP/RNBQKBNR w KQkq - 0 5,93
r1bqkbnr/pppp2pp/2n5/4P3/4P3/8/PPP3PP/RNBQKBNR b KQkq - 0 5,-164
r1bqkbnr/pppp2pp/8/4n3/4P3/8/PPP3PP/RNBQKBNR w KQkq - 0 6,50
r1bqkbnr/pppp2pp/8/4n3/3QP3/8/PPP3PP/RNB1KBNR b KQkq - 1 6,-24
r1bqkbnr/pppp2pp/2n5/8/3QP3/8/PPP3PP/RNB1KBNR w KQkq - 2 7,-33
r1bqkbnr/pppp2pp/2n5/4Q3/4P3/8/PPP3PP/RNB1KBNR b KQkq - 3 7,-1223
r1bqkbnr/pppp2pp/8/4n3/4P3/8/PPP3PP/RNB1KBNR w KQkq - 0 8,-1217
r1bqkbnr/pppp2pp/8/4n3/2P1P3/8/PP4PP/RNB1KBNR b KQkq - 0 8,-1396
r1bqk1nr/pppp2pp/8/4n3/1bP1P3/8/PP4PP/RNB1KBNR w KQkq - 1 9,-1263
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,27
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,50
rnbqkbnr/pppp1ppp/8/4p3/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 2,-6
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq - 0 3,4
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/3PB3/PPP2PPP/RN1QKBNR b KQkq - 1 3,5
rnbqkbnr/pp3ppp/2pp4/4p3/4P3/3PB3/PPP2PPP/RN1QKBNR w KQkq - 0 4,19
rnbqkbnr/pp3ppp/2pp4/4p3/4P3/3PB3/PPP1BPPP/RN1QK1NR b KQkq - 1 4,16
rnbqkbnr/p4ppp/2pp4/1p2p3/4P3/3PB3/PPP1BPPP/RN1QK1NR w KQkq - 0 5,78
rnbqkbnr/p4ppp/2pp4/1p2p3/4P3/3PB3/PPPNBPPP/R2QK1NR b KQkq - 1 5,62
rnbqkbnr/5ppp/2pp4/pp2p3/4P3/3PB3/PPPNBPPP/R2QK1NR w KQkq - 0 6,108
rnbqkbnr/5ppp/2pp4/pp2p3/P3P3/3PB3/1PPNBPPP/R2QK1NR b KQkq - 0 6,109
rnbqkbnr/5ppp/3p4/ppp1p3/P3P3/3PB3/1PPNBPPP/R2QK1NR w KQkq - 0 7,314
rnbqkbnr/5ppp/3p4/pPp1p3/4P3/3PB3/1PPNBPPP/R2QK1NR b KQkq - 0 7,301
r1bqkbnr/5ppp/2np4/pPp1p3/4P3/3PB3/1PPNBPPP/R2QK1NR w KQkq - 1 8,581
r1bqkbnr/5ppp/2Pp4/p1p1p3/4P3/3PB3/1PPNBPPP/R2QK1NR b KQkq - 0 8,598
2bqkbnr/5ppp/r1Pp4/p1p1p3/4P3/3PB3/1PPNBPPP/R2QK1NR w KQk - 1 9,764
2bqkbnr/5ppp/r1Pp4/p1p1p3/2N1P3/3PB3/1PP1BPPP/R2QK1NR b KQk - 2 9,673
2bqkbnr/5ppp/r1Pp4/2p1p3/p1N1P3/3PB3/1PP1BPPP/R2QK1NR w KQk - 0 10,725
2bqkbnr/5ppp/r1Pp4/2p1p3/p1N1P3/2PPB3/1P2BPPP/R2QK1NR b KQk - 0 10,677
2bqkbnr/5ppp/r1Pp4/2p1p3/2N1P3/p1PPB3/1P2BPPP/R2QK1NR w KQk - 0 11,779
2bqkbnr/5ppp/r1Pp4/2p1p3/4P3/N1PPB3/1P2BPPP/R2QK1NR b KQk - 0 11,724
2bqkbnr/5ppp/2Pp4/2p1p3/4P3/r1PPB3/1P2BPPP/R2QK1NR w KQk - 0 12,905
2bqkbnr/5ppp/2Pp4/2p1p3/4P3/R1PPB3/1P2BPPP/3QK1NR b Kk - 0 12,895
2bqkbnr/5ppp/2Pp4/4p3/2p1P3/R1PPB3/1P2BPPP/3QK1NR w Kk - 0 13,942
2bqkbnr/5ppp/2Pp4/4p3/2P1P3/R1P1B3/1P2BPPP/3QK1NR b Kk - 0 13,970
2bqkbnr/5ppp/2P5/3pp3/2P1P3/R1P1B3/1P2BPPP/3QK1NR w Kk - 0 14,1262
2bqkbnr/5ppp/2P5/3Pp3/4P3/R1P1B3/1P2BPPP/3QK1NR b Kk - 0 14,1062
2b1kbnr/5ppp/2P5/3qp3/4P3/R1P1B3/1P2BPPP/3QK1NR w Kk - 0 15,2297
2b1kbnr/5ppp/2P5/3Pp3/8/R1P1B3/1P2BPPP/3QK1NR b Kk - 0 15,1863
R4bnr/4kppp/2P1b3/2BPp3/8/2P5/1P2BPPP/3QK1NR b K - 4 17,2790
R4bnr/5ppp/2P1bk2/2BPp3/8/2P5/1P2BPPP/3QK1NR w K - 5 18,2927
R4Bnr/5ppp/2P1bk2/3Pp3/8/2P5/1P2BPPP/3QK1NR b K - 0 18,2907
R4Bnr/5ppp/2P1b1k1/3Pp3/8/2P5/1P2BPPP/3QK1NR w K - 1 19,4590
R5nr/5pBp/2P1b1k1/3Pp3/8/2P5/1P2BPPP/3QK1NR b K - 0 19,3085
R5nr/5pkp/2P1b3/3Pp3/8/2P5/1P2BPPP/3QK1NR w K - 0 20,4096
R5nr/5pkp/2P1P3/4p3/8/2P5/1P2BPPP/3QK1NR b K - 0 20,4415
rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,26
rn1qkbnr/ppp1pppp/8/3p1b2/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,36
rn1qkbnr/ppp1pppp/8/3p1b2/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 3 3,-1
